"Customer Identity (Brazil)","Identidad del Cliente (Brasil)"
"Enhanced Edition","Edición Enhanced"
"This base module stores CPF/CNPJ in Tax/VAT and company names
in First Name / Last Name.
To use separate CPF, CNPJ, Social Name and Trade Name fields with optional sync to core attributes,
install SystemCode_CustomerIdentityBrazilEnhanced from https://github.com/m2-systemcode/CustomerIdentityBrazilEnhanced","Este módulo base almacena CPF/CNPJ en Tax/VAT y nombres de empresa en Nombre / Apellido. Para usar campos separados de CPF, CNPJ, Razón Social y Nombre Comercial con sincronización opcional, instale SystemCode_CustomerIdentityBrazilEnhanced en https://github.com/m2-systemcode/CustomerIdentityBrazilEnhanced"
"General","General"
"Uses Magento Tax/VAT for CPF/CNPJ and First Name / Last Name
for individual or company names.
Enable Tax/VAT in Stores > Configuration > Customers > Customer Configuration > Name and Address Options.","Usa Tax/VAT de Magento para CPF/CNPJ y Nombre / Apellido para persona física o jurídica. Active Tax/VAT en Tiendas > Configuración > Clientes > Configuración de Cliente > Opciones de Nombre y Dirección."
"Enable","Activar"
"Enable Brazilian customer identity fields and validation on the storefront.","Activa campos y validación de identidad brasileña en la tienda."
"Customer Can Edit","El Cliente Puede Editar"
"Choose which fields the customer can edit after the account is created.","Elija qué campos puede editar el cliente después de crear la cuenta."
"Yes, except change person type","Sí, excepto tipo de persona"
"Yes, and allow change person type","Sí, permitiendo cambiar tipo de persona"
"Customer Group (Individual)","Grupo de Cliente (Persona Física)"
"Assign individual customers to this group.","Asigna clientes persona física a este grupo."
"Customer Group (Corporation)","Grupo de Cliente (Persona Jurídica)"
"Assign corporation customers to this group.","Asigna clientes persona jurídica a este grupo."
"Individual (CPF)","Persona Física (CPF)"
"CPF is stored in the native Tax/VAT customer attribute.
First Name and Last Name keep the standard individual labels.","El CPF se almacena en el atributo nativo Tax/VAT. Nombre y Apellido mantienen las etiquetas estándar de persona física."
"CPF (Tax/VAT)","CPF (Tax/VAT)"
"Visibility and validation for CPF using the Tax/VAT field.","Visibilidad y validación del CPF usando el campo Tax/VAT."
"RG","RG"
"Visibility and validation for the RG customer attribute.","Visibilidad y validación del atributo RG."
"Corporation (CNPJ)","Persona Jurídica (CNPJ)"
"CNPJ is stored in the native Tax/VAT customer attribute.
First Name is used as Social Name (Razão Social) and Last Name as Trade Name (Nome Fantasia).","El CNPJ se almacena en el atributo nativo Tax/VAT. Nombre se usa como Razón Social y Apellido como Nombre Comercial."
"CNPJ (Tax/VAT)","CNPJ (Tax/VAT)"
"Visibility and validation for CNPJ using the Tax/VAT field.","Visibilidad y validación del CNPJ usando el campo Tax/VAT."
"IE","IE"
"Visibility and validation for the IE customer attribute.","Visibilidad y validación del atributo IE."
"No","No"
"Optional","Opcional"
"Required","Obligatorio"
"Optional and Unique","Opcional y Único"
"Required and Unique","Obligatorio y Único"
"Individual Person","Persona Física"
"Corporation","Persona Jurídica"
"Social Name","Razón Social"
"Trade Name","Nombre Comercial"
"CPF","CPF"
"CNPJ","CNPJ"
"Please enter a valid CPF.","Introduzca un CPF válido."
"Please enter a valid CNPJ.","Introduzca un CNPJ válido."
"CPF is invalid.","CPF no válido."
"CNPJ is invalid.","CNPJ no válido."
"Tax/VAT is a required field.","Tax/VAT es un campo obligatorio."
"%1 is a required field.","%1 es un campo obligatorio."
"%1 is invalid.","%1 no es válido."
