"Customer Identity (Brazil)","Identidade do Cliente (Brasil)"
"Enhanced Edition","Edição Enhanced"
"This base module stores CPF/CNPJ in Tax/VAT and company names
in First Name / Last Name.
To use separate CPF, CNPJ, Social Name and Trade Name fields with optional sync to core attributes,
install SystemCode_CustomerIdentityBrazilEnhanced from https://github.com/m2-systemcode/CustomerIdentityBrazilEnhanced","Este módulo base armazena CPF/CNPJ em Tax/VAT e nomes de empresa em Nome / Sobrenome. Para usar campos separados de CPF, CNPJ, Razão Social e Nome Fantasia com sincronização opcional, instale SystemCode_CustomerIdentityBrazilEnhanced em https://github.com/m2-systemcode/CustomerIdentityBrazilEnhanced"
"General","Geral"
"Uses Magento Tax/VAT for CPF/CNPJ and First Name / Last Name
for individual or company names.
Enable Tax/VAT in Stores > Configuration > Customers > Customer Configuration > Name and Address Options.","Usa Tax/VAT do Magento para CPF/CNPJ e Nome / Sobrenome para pessoa física ou jurídica. Ative Tax/VAT em Lojas > Configuração > Clientes > Configuração de Cliente > Opções de Nome e Endereço."
"Enable","Ativar"
"Enable Brazilian customer identity fields and validation on the storefront.","Ativa campos e validação de identidade brasileira na loja."
"Customer Can Edit","Cliente Pode Editar"
"Choose which fields the customer can edit after the account is created.","Escolha quais campos o cliente pode editar após criar a conta."
"Yes, except change person type","Sim, exceto tipo de pessoa"
"Yes, and allow change person type","Sim, permitindo trocar tipo de pessoa"
"Customer Group (Individual)","Grupo de Cliente (Pessoa Física)"
"Assign individual customers to this group.","Atribui clientes pessoa física a este grupo."
"Customer Group (Corporation)","Grupo de Cliente (Pessoa Jurídica)"
"Assign corporation customers to this group.","Atribui clientes pessoa jurídica a este grupo."
"Individual (CPF)","Pessoa Física (CPF)"
"CPF is stored in the native Tax/VAT customer attribute.
First Name and Last Name keep the standard individual labels.","O CPF é armazenado no atributo nativo Tax/VAT. Nome e Sobrenome mantêm os rótulos padrão de pessoa física."
"CPF (Tax/VAT)","CPF (Tax/VAT)"
"Visibility and validation for CPF using the Tax/VAT field.","Visibilidade e validação do CPF usando o campo Tax/VAT."
"RG","RG"
"Visibility and validation for the RG customer attribute.","Visibilidade e validação do atributo RG."
"Corporation (CNPJ)","Pessoa Jurídica (CNPJ)"
"CNPJ is stored in the native Tax/VAT customer attribute.
First Name is used as Social Name (Razão Social) and Last Name as Trade Name (Nome Fantasia).","O CNPJ é armazenado no atributo nativo Tax/VAT. Nome é usado como Razão Social e Sobrenome como Nome Fantasia."
"CNPJ (Tax/VAT)","CNPJ (Tax/VAT)"
"Visibility and validation for CNPJ using the Tax/VAT field.","Visibilidade e validação do CNPJ usando o campo Tax/VAT."
"IE","IE"
"Visibility and validation for the IE customer attribute.","Visibilidade e validação do atributo IE."
"No","Não"
"Optional","Opcional"
"Required","Obrigatório"
"Optional and Unique","Opcional e Único"
"Required and Unique","Obrigatório e Único"
"Individual Person","Pessoa Física"
"Corporation","Pessoa Jurídica"
"Social Name","Razão Social"
"Trade Name","Nome Fantasia"
"CPF","CPF"
"CNPJ","CNPJ"
"Please enter a valid CPF.","Informe um CPF válido."
"Please enter a valid CNPJ.","Informe um CNPJ válido."
"CPF is invalid.","CPF inválido."
"CNPJ is invalid.","CNPJ inválido."
"Tax/VAT is a required field.","Tax/VAT é um campo obrigatório."
"%1 is a required field.","%1 é um campo obrigatório."
"%1 is invalid.","%1 é inválido."
